ID,Domain,Sub-Domain,Topic Area,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Choice H,Choice I,Choice J,Choice K,Choice L,Choice N,Choice N,Correct Answer(s)
949,,,,An organization would like to ensure that all new users have a predefined departmental access template applied upon creation. The organization would also like additional access for users to be granted on a per-project basis. What type of user access administration is BEST suited to meet the organization's needs?,Hybrid,Federated,Decentralized,Centralized,,,,,,,,,,,A
950,,,,Which is MOST important when negotiating an Internet service provider (ISP) service-level agreement (SLA) by an organization that solely provides Voice over Internet Protocol (VoIP) services?16,Mean time to repair (MTTR)17,Quality of Service (QoS) between applications18,Availability of network services19,Financial penalties in case of disruption20,,,,,,,,,,,B
951,,,,What23 part of an organization’s strategic risk assessment MOST likely includes information on items affecting the success of the organization?,Key Risk Indicator (KRI),Threat analysis,Vulnerability analysis,Key Performance Indicator (KPI),,,,,,,,,,,A
952,,,,What is the MOST common cause of Remote Desktop Protocol (RDP) compromise?,Port scan,Brute force attack,Remote exploit,Social engineering,,,,,,,,,,,B
953,,,,A criminal organization is planning an attack on a government network. Which of the following scenarios presents the HIGHEST risk to the organization?,Network is flooded with communication traffic by the attacker.,Organization loses control of their network devices.,Network management communications is disrupted.,Attacker accesses sensitive information regarding the network topology.,,,,,,,,,,,B
954,,,,"Which part of an operating system (OS) is responsible for providing security interfaces among the hardware, OS, and other parts of the computing system?",Trusted Computing Base (TCB),Time separation,Security kernel,Reference monitor,,,,,,,,,,,C
955,,,,A hospital’s building controls system monitors and operates the environmental equipment to maintain a safe and comfortable environment. Which of the following could be used to minimize the risk of utility supply interruption?,Digital devices that can turn equipment off and continuously cycle rapidly in order to increase supplies and conceal activity on the hospital network,Standardized building controls system software with high connectivity to hospital networks,Lock out maintenance personnel from the building controls system access that can impact critical utility supplies,Digital protection and control devices capable of minimizing the adverse impact to critical utility,,,,,,,,,,,D
956,,,,What type of risk is related to the sequences of value-adding and managerial activities undertaken in an organization?,Demand risk,Process risk,Control risk,Supply risk,,,,,,,,,,,B
957,,,,Which of the following should be included in a good defense-in-depth strategy provided by object-oriented programming for software deployment?,Polyinstantiation,Polymorphism,Encapsulation,Inheritance,,,,,,,,,,,A
958,,,,"In an environment where there is not full administrative control over all network connected endpoints, such as a university where non-corporate devices are used, what is the BEST way to restrict access to the network?",Use switch port security to limit devices connected to a particular switch port.,Use of virtual local area networks (VLAN) to segregate users.,Use a client-based Network Access Control (NAC) solution.,Use a clientless Network Access Control (NAC) solution,,,,,,,,,,,A
959,,,,When are security requirements the LEAST expensive to implement?,When identified by external consultants,During the application rollout phase,During each phase of the project cycle,When built into application design,,,,,,,,,,,D
960,,,,The Chief Information Security Officer (CIO) has decided that as part of business modernization efforts the organization will move towards a cloud architecture. All business-critical data will be migrated to either internal or external cloud services within the next two years. The CIO has a PRIMARY obligation to work with personnel in which role in order to ensure proper protection of data during and after the cloud migration?,Information owner,General Counsel,Chief Information Security Officer (CISO),Chief Security Officer (CSO),,,,,,,,,,,A
